,model,animal,accuracy
0,top_model_weights_with_3d,bear,0.61
1,top_model_weights_with_3d,bear,0.625
2,top_model_weights_with_3d,bear,0.595
3,top_model_weights_with_3d,bear,0.57
4,top_model_weights_with_3d,bear,0.65
5,top_model_weights_with_3d,bear,0.6
6,top_model_weights_with_3d,bear,0.6
7,top_model_weights_with_3d,bear,0.65
8,top_model_weights_with_3d,bear,0.65
9,top_model_weights_with_3d,bear,0.68
10,top_model_weights_with_3d,bear,0.66
11,top_model_weights_with_3d,bear,0.68
12,top_model_weights_with_3d,bear,0.675
13,top_model_weights_with_3d,bear,0.63
14,top_model_weights_with_3d,bear,0.63
15,top_model_weights_with_3d,bear,0.655
16,top_model_weights_with_3d,bear,0.695
17,top_model_weights_with_3d,bear,0.71
18,top_model_weights_with_3d,bear,0.64
19,top_model_weights_with_3d,bear,0.605
20,top_model_weights_with_3d,bear,0.685
21,top_model_weights_with_3d,bear,0.655
22,top_model_weights_with_3d,bear,0.63
23,top_model_weights_with_3d,bear,0.59
24,top_model_weights_with_3d,bear,0.66
25,top_model_weights_with_3d,bear,0.72
26,top_model_weights_with_3d,bear,0.665
27,top_model_weights_with_3d,bear,0.645
28,top_model_weights_with_3d,bear,0.64
29,top_model_weights_with_3d,bear,0.7
30,top_model_weights_with_3d,bear,0.63
31,top_model_weights_with_3d,bear,0.64
32,top_model_weights_with_3d,bear,0.64
33,top_model_weights_with_3d,bear,0.655
34,top_model_weights_with_3d,bear,0.64
35,top_model_weights_with_3d,bear,0.63
36,top_model_weights_with_3d,bear,0.655
37,top_model_weights_with_3d,bear,0.625
38,top_model_weights_with_3d,bear,0.625
39,top_model_weights_with_3d,bear,0.66
40,top_model_weights_with_3d,bear,0.605
41,top_model_weights_with_3d,bear,0.69
42,top_model_weights_with_3d,bear,0.615
43,top_model_weights_with_3d,bear,0.665
44,top_model_weights_with_3d,bear,0.615
45,top_model_weights_with_3d,bear,0.605
46,top_model_weights_with_3d,bear,0.655
47,top_model_weights_with_3d,bear,0.62
48,top_model_weights_with_3d,bear,0.615
49,top_model_weights_with_3d,bear,0.615
50,top_model_weights_with_3d,bear,0.635
51,top_model_weights_with_3d,bear,0.71
52,top_model_weights_with_3d,bear,0.725
53,top_model_weights_with_3d,bear,0.68
54,top_model_weights_with_3d,bear,0.58
55,top_model_weights_with_3d,bear,0.65
56,top_model_weights_with_3d,bear,0.605
57,top_model_weights_with_3d,bear,0.58
58,top_model_weights_with_3d,bear,0.66
59,top_model_weights_with_3d,bear,0.645
60,top_model_weights_with_3d,bear,0.715
61,top_model_weights_with_3d,bear,0.665
62,top_model_weights_with_3d,bear,0.605
63,top_model_weights_with_3d,bear,0.595
64,top_model_weights_with_3d,bear,0.705
65,top_model_weights_with_3d,bear,0.675
66,top_model_weights_with_3d,bear,0.585
67,top_model_weights_with_3d,bear,0.66
68,top_model_weights_with_3d,bear,0.65
69,top_model_weights_with_3d,bear,0.69
70,top_model_weights_with_3d,bear,0.645
71,top_model_weights_with_3d,bear,0.645
72,top_model_weights_with_3d,bear,0.65
73,top_model_weights_with_3d,bear,0.61
74,top_model_weights_with_3d,bear,0.71
75,top_model_weights_with_3d,bear,0.67
76,top_model_weights_with_3d,bear,0.675
77,top_model_weights_with_3d,bear,0.63
78,top_model_weights_with_3d,bear,0.665
79,top_model_weights_with_3d,bear,0.625
80,top_model_weights_with_3d,bear,0.62
81,top_model_weights_with_3d,bear,0.655
82,top_model_weights_with_3d,bear,0.64
83,top_model_weights_with_3d,bear,0.695
84,top_model_weights_with_3d,bear,0.66
85,top_model_weights_with_3d,bear,0.665
86,top_model_weights_with_3d,bear,0.66
87,top_model_weights_with_3d,bear,0.585
88,top_model_weights_with_3d,bear,0.645
89,top_model_weights_with_3d,bear,0.665
90,top_model_weights_with_3d,bear,0.66
91,top_model_weights_with_3d,bear,0.695
92,top_model_weights_with_3d,bear,0.665
93,top_model_weights_with_3d,bear,0.685
94,top_model_weights_with_3d,bear,0.655
95,top_model_weights_with_3d,bear,0.61
96,top_model_weights_with_3d,bear,0.675
97,top_model_weights_with_3d,bear,0.65
98,top_model_weights_with_3d,bear,0.65
99,top_model_weights_with_3d,bear,0.65
100,top_model_weights_with_3d,bear,0.63
101,top_model_weights_with_3d,bear,0.645
102,top_model_weights_with_3d,bear,0.725
103,top_model_weights_with_3d,bear,0.67
104,top_model_weights_with_3d,bear,0.64
105,top_model_weights_with_3d,bear,0.695
106,top_model_weights_with_3d,bear,0.61
107,top_model_weights_with_3d,bear,0.72
108,top_model_weights_with_3d,bear,0.62
109,top_model_weights_with_3d,bear,0.65
110,top_model_weights_with_3d,bear,0.61
111,top_model_weights_with_3d,bear,0.66
112,top_model_weights_with_3d,bear,0.7
113,top_model_weights_with_3d,bear,0.665
114,top_model_weights_with_3d,bear,0.64
115,top_model_weights_with_3d,bear,0.68
116,top_model_weights_with_3d,bear,0.735
117,top_model_weights_with_3d,bear,0.655
118,top_model_weights_with_3d,bear,0.635
119,top_model_weights_with_3d,bear,0.67
120,top_model_weights_with_3d,bear,0.665
121,top_model_weights_with_3d,bear,0.66
122,top_model_weights_with_3d,bear,0.66
123,top_model_weights_with_3d,bear,0.675
124,top_model_weights_with_3d,bear,0.65
125,top_model_weights_with_3d,bear,0.6
126,top_model_weights_with_3d,bear,0.67
127,top_model_weights_with_3d,bear,0.685
128,top_model_weights_with_3d,bear,0.68
129,top_model_weights_with_3d,bear,0.665
130,top_model_weights_with_3d,bear,0.705
131,top_model_weights_with_3d,bear,0.65
132,top_model_weights_with_3d,bear,0.595
133,top_model_weights_with_3d,bear,0.65
134,top_model_weights_with_3d,bear,0.65
135,top_model_weights_with_3d,bear,0.64
136,top_model_weights_with_3d,bear,0.66
137,top_model_weights_with_3d,bear,0.65
138,top_model_weights_with_3d,bear,0.71
139,top_model_weights_with_3d,bear,0.685
140,top_model_weights_with_3d,bear,0.685
141,top_model_weights_with_3d,bear,0.62
142,top_model_weights_with_3d,bear,0.615
143,top_model_weights_with_3d,bear,0.585
144,top_model_weights_with_3d,bear,0.635
145,top_model_weights_with_3d,bear,0.675
146,top_model_weights_with_3d,bear,0.62
147,top_model_weights_with_3d,bear,0.6
148,top_model_weights_with_3d,bear,0.645
149,top_model_weights_with_3d,bear,0.655
150,top_model_weights_with_3d,bear,0.7
151,top_model_weights_with_3d,bear,0.635
152,top_model_weights_with_3d,bear,0.585
153,top_model_weights_with_3d,bear,0.625
154,top_model_weights_with_3d,bear,0.7
155,top_model_weights_with_3d,bear,0.635
156,top_model_weights_with_3d,bear,0.655
157,top_model_weights_with_3d,bear,0.61
158,top_model_weights_with_3d,bear,0.665
159,top_model_weights_with_3d,bear,0.625
160,top_model_weights_with_3d,bear,0.69
161,top_model_weights_with_3d,bear,0.67
162,top_model_weights_with_3d,bear,0.61
163,top_model_weights_with_3d,bear,0.64
164,top_model_weights_with_3d,bear,0.635
165,top_model_weights_with_3d,bear,0.65
166,top_model_weights_with_3d,bear,0.675
167,top_model_weights_with_3d,bear,0.635
168,top_model_weights_with_3d,bear,0.645
169,top_model_weights_with_3d,bear,0.675
170,top_model_weights_with_3d,bear,0.65
171,top_model_weights_with_3d,bear,0.68
172,top_model_weights_with_3d,bear,0.655
173,top_model_weights_with_3d,bear,0.655
174,top_model_weights_with_3d,bear,0.64
175,top_model_weights_with_3d,bear,0.675
176,top_model_weights_with_3d,bear,0.67
177,top_model_weights_with_3d,bear,0.61
178,top_model_weights_with_3d,bear,0.67
179,top_model_weights_with_3d,bear,0.615
180,top_model_weights_with_3d,bear,0.605
181,top_model_weights_with_3d,bear,0.67
182,top_model_weights_with_3d,bear,0.605
183,top_model_weights_with_3d,bear,0.63
184,top_model_weights_with_3d,bear,0.625
185,top_model_weights_with_3d,bear,0.625
186,top_model_weights_with_3d,bear,0.59
187,top_model_weights_with_3d,bear,0.63
188,top_model_weights_with_3d,bear,0.655
189,top_model_weights_with_3d,bear,0.635
190,top_model_weights_with_3d,bear,0.635
191,top_model_weights_with_3d,bear,0.655
192,top_model_weights_with_3d,bear,0.66
193,top_model_weights_with_3d,bear,0.7
194,top_model_weights_with_3d,bear,0.6
195,top_model_weights_with_3d,bear,0.66
196,top_model_weights_with_3d,bear,0.65
197,top_model_weights_with_3d,bear,0.68
198,top_model_weights_with_3d,bear,0.69
199,top_model_weights_with_3d,bear,0.65
200,top_model_weights_with_3d,bear,0.645
201,top_model_weights_with_3d,bear,0.615
202,top_model_weights_with_3d,bear,0.645
203,top_model_weights_with_3d,bear,0.655
204,top_model_weights_with_3d,bear,0.7
205,top_model_weights_with_3d,bear,0.635
206,top_model_weights_with_3d,bear,0.645
207,top_model_weights_with_3d,bear,0.675
208,top_model_weights_with_3d,bear,0.63
209,top_model_weights_with_3d,bear,0.65
210,top_model_weights_with_3d,bear,0.685
211,top_model_weights_with_3d,bear,0.7
212,top_model_weights_with_3d,bear,0.645
213,top_model_weights_with_3d,bear,0.685
214,top_model_weights_with_3d,bear,0.605
215,top_model_weights_with_3d,bear,0.65
216,top_model_weights_with_3d,bear,0.68
217,top_model_weights_with_3d,bear,0.635
218,top_model_weights_with_3d,bear,0.675
219,top_model_weights_with_3d,bear,0.61
220,top_model_weights_with_3d,bear,0.645
221,top_model_weights_with_3d,bear,0.705
222,top_model_weights_with_3d,bear,0.59
223,top_model_weights_with_3d,bear,0.675
224,top_model_weights_with_3d,bear,0.685
225,top_model_weights_with_3d,bear,0.705
226,top_model_weights_with_3d,bear,0.635
227,top_model_weights_with_3d,bear,0.59
228,top_model_weights_with_3d,bear,0.69
229,top_model_weights_with_3d,bear,0.62
230,top_model_weights_with_3d,bear,0.635
231,top_model_weights_with_3d,bear,0.645
232,top_model_weights_with_3d,bear,0.645
233,top_model_weights_with_3d,bear,0.615
234,top_model_weights_with_3d,bear,0.625
235,top_model_weights_with_3d,bear,0.665
236,top_model_weights_with_3d,bear,0.57
237,top_model_weights_with_3d,bear,0.68
238,top_model_weights_with_3d,bear,0.61
239,top_model_weights_with_3d,bear,0.605
240,top_model_weights_with_3d,bear,0.66
241,top_model_weights_with_3d,bear,0.66
242,top_model_weights_with_3d,bear,0.695
243,top_model_weights_with_3d,bear,0.66
244,top_model_weights_with_3d,bear,0.66
245,top_model_weights_with_3d,bear,0.725
246,top_model_weights_with_3d,bear,0.61
247,top_model_weights_with_3d,bear,0.595
248,top_model_weights_with_3d,bear,0.63
249,top_model_weights_with_3d,bear,0.61
250,top_model_weights_with_3d,bear,0.605
251,top_model_weights_with_3d,bear,0.635
252,top_model_weights_with_3d,bear,0.615
253,top_model_weights_with_3d,bear,0.625
254,top_model_weights_with_3d,bear,0.695
255,top_model_weights_with_3d,bear,0.595
256,top_model_weights_with_3d,bear,0.585
257,top_model_weights_with_3d,bear,0.615
258,top_model_weights_with_3d,bear,0.67
259,top_model_weights_with_3d,bear,0.605
260,top_model_weights_with_3d,bear,0.61
261,top_model_weights_with_3d,bear,0.645
262,top_model_weights_with_3d,bear,0.62
263,top_model_weights_with_3d,bear,0.655
264,top_model_weights_with_3d,bear,0.61
265,top_model_weights_with_3d,bear,0.7
266,top_model_weights_with_3d,bear,0.62
267,top_model_weights_with_3d,bear,0.665
268,top_model_weights_with_3d,bear,0.68
269,top_model_weights_with_3d,bear,0.63
270,top_model_weights_with_3d,bear,0.65
271,top_model_weights_with_3d,bear,0.69
272,top_model_weights_with_3d,bear,0.705
273,top_model_weights_with_3d,bear,0.68
274,top_model_weights_with_3d,bear,0.675
275,top_model_weights_with_3d,bear,0.65
