,model,animal,accuracy
0,top_model_weights_no_3d,bear,0.565
1,top_model_weights_no_3d,bear,0.585
2,top_model_weights_no_3d,bear,0.59
3,top_model_weights_no_3d,bear,0.57
4,top_model_weights_no_3d,bear,0.58
5,top_model_weights_no_3d,bear,0.56
6,top_model_weights_no_3d,bear,0.49
7,top_model_weights_no_3d,bear,0.51
8,top_model_weights_no_3d,bear,0.585
9,top_model_weights_no_3d,bear,0.51
10,top_model_weights_no_3d,bear,0.52
11,top_model_weights_no_3d,bear,0.535
12,top_model_weights_no_3d,bear,0.465
13,top_model_weights_no_3d,bear,0.48
14,top_model_weights_no_3d,bear,0.535
15,top_model_weights_no_3d,bear,0.605
16,top_model_weights_no_3d,bear,0.54
17,top_model_weights_no_3d,bear,0.54
18,top_model_weights_no_3d,bear,0.575
19,top_model_weights_no_3d,bear,0.55
20,top_model_weights_no_3d,bear,0.56
21,top_model_weights_no_3d,bear,0.57
22,top_model_weights_no_3d,bear,0.52
23,top_model_weights_no_3d,bear,0.49
24,top_model_weights_no_3d,bear,0.58
25,top_model_weights_no_3d,bear,0.5
26,top_model_weights_no_3d,bear,0.55
27,top_model_weights_no_3d,bear,0.555
28,top_model_weights_no_3d,bear,0.6
29,top_model_weights_no_3d,bear,0.525
30,top_model_weights_no_3d,bear,0.505
31,top_model_weights_no_3d,bear,0.505
32,top_model_weights_no_3d,bear,0.5
33,top_model_weights_no_3d,bear,0.555
34,top_model_weights_no_3d,bear,0.515
35,top_model_weights_no_3d,bear,0.455
36,top_model_weights_no_3d,bear,0.54
37,top_model_weights_no_3d,bear,0.54
38,top_model_weights_no_3d,bear,0.54
39,top_model_weights_no_3d,bear,0.51
40,top_model_weights_no_3d,bear,0.515
41,top_model_weights_no_3d,bear,0.565
42,top_model_weights_no_3d,bear,0.565
43,top_model_weights_no_3d,bear,0.515
44,top_model_weights_no_3d,bear,0.55
45,top_model_weights_no_3d,bear,0.57
46,top_model_weights_no_3d,bear,0.5
47,top_model_weights_no_3d,bear,0.515
48,top_model_weights_no_3d,bear,0.595
49,top_model_weights_no_3d,bear,0.495
50,top_model_weights_no_3d,bear,0.57
51,top_model_weights_no_3d,bear,0.515
52,top_model_weights_no_3d,bear,0.52
53,top_model_weights_no_3d,bear,0.555
54,top_model_weights_no_3d,bear,0.525
55,top_model_weights_no_3d,bear,0.555
56,top_model_weights_no_3d,bear,0.465
57,top_model_weights_no_3d,bear,0.545
58,top_model_weights_no_3d,bear,0.495
59,top_model_weights_no_3d,bear,0.5
60,top_model_weights_no_3d,bear,0.54
61,top_model_weights_no_3d,bear,0.55
62,top_model_weights_no_3d,bear,0.555
63,top_model_weights_no_3d,bear,0.515
64,top_model_weights_no_3d,bear,0.515
65,top_model_weights_no_3d,bear,0.53
66,top_model_weights_no_3d,bear,0.51
67,top_model_weights_no_3d,bear,0.5
68,top_model_weights_no_3d,bear,0.51
69,top_model_weights_no_3d,bear,0.515
70,top_model_weights_no_3d,bear,0.565
71,top_model_weights_no_3d,bear,0.495
72,top_model_weights_no_3d,bear,0.59
73,top_model_weights_no_3d,bear,0.57
74,top_model_weights_no_3d,bear,0.555
75,top_model_weights_no_3d,bear,0.55
76,top_model_weights_no_3d,bear,0.52
77,top_model_weights_no_3d,bear,0.52
78,top_model_weights_no_3d,bear,0.5
79,top_model_weights_no_3d,bear,0.505
80,top_model_weights_no_3d,bear,0.575
81,top_model_weights_no_3d,bear,0.525
82,top_model_weights_no_3d,bear,0.545
83,top_model_weights_no_3d,bear,0.49
84,top_model_weights_no_3d,bear,0.555
85,top_model_weights_no_3d,bear,0.54
86,top_model_weights_no_3d,bear,0.46
87,top_model_weights_no_3d,bear,0.515
88,top_model_weights_no_3d,bear,0.475
89,top_model_weights_no_3d,bear,0.47
90,top_model_weights_no_3d,bear,0.52
91,top_model_weights_no_3d,bear,0.555
92,top_model_weights_no_3d,bear,0.565
93,top_model_weights_no_3d,bear,0.59
94,top_model_weights_no_3d,bear,0.525
95,top_model_weights_no_3d,bear,0.52
96,top_model_weights_no_3d,bear,0.5
97,top_model_weights_no_3d,bear,0.565
98,top_model_weights_no_3d,bear,0.525
99,top_model_weights_no_3d,bear,0.485
100,top_model_weights_no_3d,bear,0.595
101,top_model_weights_no_3d,bear,0.53
102,top_model_weights_no_3d,bear,0.535
103,top_model_weights_no_3d,bear,0.51
104,top_model_weights_no_3d,bear,0.475
105,top_model_weights_no_3d,bear,0.57
106,top_model_weights_no_3d,bear,0.555
107,top_model_weights_no_3d,bear,0.5
108,top_model_weights_no_3d,bear,0.54
109,top_model_weights_no_3d,bear,0.535
110,top_model_weights_no_3d,bear,0.525
111,top_model_weights_no_3d,bear,0.53
112,top_model_weights_no_3d,bear,0.545
113,top_model_weights_no_3d,bear,0.5
114,top_model_weights_no_3d,bear,0.57
115,top_model_weights_no_3d,bear,0.52
116,top_model_weights_no_3d,bear,0.49
117,top_model_weights_no_3d,bear,0.545
118,top_model_weights_no_3d,bear,0.54
119,top_model_weights_no_3d,bear,0.59
120,top_model_weights_no_3d,bear,0.59
121,top_model_weights_no_3d,bear,0.525
122,top_model_weights_no_3d,bear,0.54
123,top_model_weights_no_3d,bear,0.495
124,top_model_weights_no_3d,bear,0.535
125,top_model_weights_no_3d,bear,0.49
126,top_model_weights_no_3d,bear,0.495
127,top_model_weights_no_3d,bear,0.5
128,top_model_weights_no_3d,bear,0.575
129,top_model_weights_no_3d,bear,0.455
130,top_model_weights_no_3d,bear,0.515
131,top_model_weights_no_3d,bear,0.53
132,top_model_weights_no_3d,bear,0.565
133,top_model_weights_no_3d,bear,0.535
134,top_model_weights_no_3d,bear,0.54
135,top_model_weights_no_3d,bear,0.485
136,top_model_weights_no_3d,bear,0.575
137,top_model_weights_no_3d,bear,0.565
138,top_model_weights_no_3d,bear,0.515
139,top_model_weights_no_3d,bear,0.545
140,top_model_weights_no_3d,bear,0.565
141,top_model_weights_no_3d,bear,0.525
142,top_model_weights_no_3d,bear,0.55
143,top_model_weights_no_3d,bear,0.515
144,top_model_weights_no_3d,bear,0.55
145,top_model_weights_no_3d,bear,0.56
146,top_model_weights_no_3d,bear,0.575
147,top_model_weights_no_3d,bear,0.485
148,top_model_weights_no_3d,bear,0.52
149,top_model_weights_no_3d,bear,0.5
150,top_model_weights_no_3d,bear,0.485
151,top_model_weights_no_3d,bear,0.485
152,top_model_weights_no_3d,bear,0.53
153,top_model_weights_no_3d,bear,0.515
154,top_model_weights_no_3d,bear,0.435
155,top_model_weights_no_3d,bear,0.57
156,top_model_weights_no_3d,bear,0.505
157,top_model_weights_no_3d,bear,0.55
158,top_model_weights_no_3d,bear,0.62
159,top_model_weights_no_3d,bear,0.57
160,top_model_weights_no_3d,bear,0.51
161,top_model_weights_no_3d,bear,0.485
162,top_model_weights_no_3d,bear,0.56
163,top_model_weights_no_3d,bear,0.61
164,top_model_weights_no_3d,bear,0.48
165,top_model_weights_no_3d,bear,0.49
166,top_model_weights_no_3d,bear,0.455
167,top_model_weights_no_3d,bear,0.51
168,top_model_weights_no_3d,bear,0.53
169,top_model_weights_no_3d,bear,0.515
170,top_model_weights_no_3d,bear,0.535
171,top_model_weights_no_3d,bear,0.52
172,top_model_weights_no_3d,bear,0.49
173,top_model_weights_no_3d,bear,0.535
174,top_model_weights_no_3d,bear,0.535
175,top_model_weights_no_3d,bear,0.59
176,top_model_weights_no_3d,bear,0.515
177,top_model_weights_no_3d,bear,0.565
178,top_model_weights_no_3d,bear,0.57
179,top_model_weights_no_3d,bear,0.535
180,top_model_weights_no_3d,bear,0.615
181,top_model_weights_no_3d,bear,0.49
182,top_model_weights_no_3d,bear,0.58
183,top_model_weights_no_3d,bear,0.52
184,top_model_weights_no_3d,bear,0.495
185,top_model_weights_no_3d,bear,0.51
186,top_model_weights_no_3d,bear,0.535
187,top_model_weights_no_3d,bear,0.485
188,top_model_weights_no_3d,bear,0.455
189,top_model_weights_no_3d,bear,0.48
190,top_model_weights_no_3d,bear,0.535
191,top_model_weights_no_3d,bear,0.525
192,top_model_weights_no_3d,bear,0.485
193,top_model_weights_no_3d,bear,0.575
194,top_model_weights_no_3d,bear,0.505
195,top_model_weights_no_3d,bear,0.515
196,top_model_weights_no_3d,bear,0.505
197,top_model_weights_no_3d,bear,0.515
198,top_model_weights_no_3d,bear,0.575
199,top_model_weights_no_3d,bear,0.52
200,top_model_weights_no_3d,bear,0.515
201,top_model_weights_no_3d,bear,0.555
202,top_model_weights_no_3d,bear,0.545
203,top_model_weights_no_3d,bear,0.54
204,top_model_weights_no_3d,bear,0.505
205,top_model_weights_no_3d,bear,0.51
206,top_model_weights_no_3d,bear,0.6
207,top_model_weights_no_3d,bear,0.59
208,top_model_weights_no_3d,bear,0.56
209,top_model_weights_no_3d,bear,0.53
210,top_model_weights_no_3d,bear,0.56
211,top_model_weights_no_3d,bear,0.565
212,top_model_weights_no_3d,bear,0.555
213,top_model_weights_no_3d,bear,0.59
214,top_model_weights_no_3d,bear,0.575
215,top_model_weights_no_3d,bear,0.53
216,top_model_weights_no_3d,bear,0.555
217,top_model_weights_no_3d,bear,0.58
218,top_model_weights_no_3d,bear,0.55
219,top_model_weights_no_3d,bear,0.565
220,top_model_weights_no_3d,bear,0.535
221,top_model_weights_no_3d,bear,0.46
222,top_model_weights_no_3d,bear,0.52
223,top_model_weights_no_3d,bear,0.535
224,top_model_weights_no_3d,bear,0.535
225,top_model_weights_no_3d,bear,0.575
226,top_model_weights_no_3d,bear,0.56
227,top_model_weights_no_3d,bear,0.535
228,top_model_weights_no_3d,bear,0.585
229,top_model_weights_no_3d,bear,0.545
230,top_model_weights_no_3d,bear,0.485
231,top_model_weights_no_3d,bear,0.525
232,top_model_weights_no_3d,bear,0.55
233,top_model_weights_no_3d,bear,0.525
234,top_model_weights_no_3d,bear,0.575
235,top_model_weights_no_3d,bear,0.56
236,top_model_weights_no_3d,bear,0.58
237,top_model_weights_no_3d,bear,0.54
238,top_model_weights_no_3d,bear,0.515
239,top_model_weights_no_3d,bear,0.485
240,top_model_weights_no_3d,bear,0.51
241,top_model_weights_no_3d,bear,0.55
242,top_model_weights_no_3d,bear,0.565
243,top_model_weights_no_3d,bear,0.565
244,top_model_weights_no_3d,bear,0.535
245,top_model_weights_no_3d,bear,0.475
246,top_model_weights_no_3d,bear,0.52
247,top_model_weights_no_3d,bear,0.5
248,top_model_weights_no_3d,bear,0.515
249,top_model_weights_no_3d,bear,0.495
250,top_model_weights_no_3d,bear,0.52
251,top_model_weights_no_3d,bear,0.57
252,top_model_weights_no_3d,bear,0.545
253,top_model_weights_no_3d,bear,0.575
254,top_model_weights_no_3d,bear,0.53
255,top_model_weights_no_3d,bear,0.505
256,top_model_weights_no_3d,bear,0.57
257,top_model_weights_no_3d,bear,0.585
258,top_model_weights_no_3d,bear,0.5
259,top_model_weights_no_3d,bear,0.51
260,top_model_weights_no_3d,bear,0.56
261,top_model_weights_no_3d,bear,0.53
262,top_model_weights_no_3d,bear,0.48
