,model,animal,accuracy
0,top_model_weights_no_3d,dog,0.815
1,top_model_weights_no_3d,dog,0.895
2,top_model_weights_no_3d,dog,0.865
3,top_model_weights_no_3d,dog,0.905
4,top_model_weights_no_3d,dog,0.87
5,top_model_weights_no_3d,dog,0.85
6,top_model_weights_no_3d,dog,0.885
7,top_model_weights_no_3d,dog,0.87
8,top_model_weights_no_3d,dog,0.89
9,top_model_weights_no_3d,dog,0.89
10,top_model_weights_no_3d,dog,0.915
11,top_model_weights_no_3d,dog,0.88
12,top_model_weights_no_3d,dog,0.86
13,top_model_weights_no_3d,dog,0.91
14,top_model_weights_no_3d,dog,0.875
15,top_model_weights_no_3d,dog,0.845
16,top_model_weights_no_3d,dog,0.865
17,top_model_weights_no_3d,dog,0.9
18,top_model_weights_no_3d,dog,0.885
19,top_model_weights_no_3d,dog,0.905
20,top_model_weights_no_3d,dog,0.85
21,top_model_weights_no_3d,dog,0.88
22,top_model_weights_no_3d,dog,0.905
23,top_model_weights_no_3d,dog,0.895
24,top_model_weights_no_3d,dog,0.88
25,top_model_weights_no_3d,dog,0.885
26,top_model_weights_no_3d,dog,0.915
27,top_model_weights_no_3d,dog,0.86
28,top_model_weights_no_3d,dog,0.88
29,top_model_weights_no_3d,dog,0.87
30,top_model_weights_no_3d,dog,0.9
31,top_model_weights_no_3d,dog,0.875
32,top_model_weights_no_3d,dog,0.91
33,top_model_weights_no_3d,dog,0.94
34,top_model_weights_no_3d,dog,0.9
35,top_model_weights_no_3d,dog,0.88
36,top_model_weights_no_3d,dog,0.855
37,top_model_weights_no_3d,dog,0.865
38,top_model_weights_no_3d,dog,0.87
39,top_model_weights_no_3d,dog,0.845
40,top_model_weights_no_3d,dog,0.89
41,top_model_weights_no_3d,dog,0.895
42,top_model_weights_no_3d,dog,0.885
43,top_model_weights_no_3d,dog,0.88
44,top_model_weights_no_3d,dog,0.885
45,top_model_weights_no_3d,dog,0.83
46,top_model_weights_no_3d,dog,0.885
47,top_model_weights_no_3d,dog,0.895
48,top_model_weights_no_3d,dog,0.885
49,top_model_weights_no_3d,dog,0.905
50,top_model_weights_no_3d,dog,0.865
51,top_model_weights_no_3d,dog,0.885
52,top_model_weights_no_3d,dog,0.88
53,top_model_weights_no_3d,dog,0.855
54,top_model_weights_no_3d,dog,0.865
55,top_model_weights_no_3d,dog,0.87
56,top_model_weights_no_3d,dog,0.865
57,top_model_weights_no_3d,dog,0.865
58,top_model_weights_no_3d,dog,0.84
59,top_model_weights_no_3d,dog,0.85
60,top_model_weights_no_3d,dog,0.835
