,model,animal,accuracy
0,top_model_weights_no_3d,elephant,0.82
1,top_model_weights_no_3d,elephant,0.795
2,top_model_weights_no_3d,elephant,0.785
3,top_model_weights_no_3d,elephant,0.825
4,top_model_weights_no_3d,elephant,0.735
5,top_model_weights_no_3d,elephant,0.765
6,top_model_weights_no_3d,elephant,0.83
7,top_model_weights_no_3d,elephant,0.78
8,top_model_weights_no_3d,elephant,0.825
9,top_model_weights_no_3d,elephant,0.825
10,top_model_weights_no_3d,elephant,0.775
11,top_model_weights_no_3d,elephant,0.815
12,top_model_weights_no_3d,elephant,0.8
13,top_model_weights_no_3d,elephant,0.865
14,top_model_weights_no_3d,elephant,0.77
15,top_model_weights_no_3d,elephant,0.83
16,top_model_weights_no_3d,elephant,0.78
17,top_model_weights_no_3d,elephant,0.76
18,top_model_weights_no_3d,elephant,0.805
19,top_model_weights_no_3d,elephant,0.78
20,top_model_weights_no_3d,elephant,0.805
21,top_model_weights_no_3d,elephant,0.77
22,top_model_weights_no_3d,elephant,0.84
23,top_model_weights_no_3d,elephant,0.825
24,top_model_weights_no_3d,elephant,0.86
25,top_model_weights_no_3d,elephant,0.775
26,top_model_weights_no_3d,elephant,0.79
27,top_model_weights_no_3d,elephant,0.81
28,top_model_weights_no_3d,elephant,0.805
29,top_model_weights_no_3d,elephant,0.765
30,top_model_weights_no_3d,elephant,0.815
31,top_model_weights_no_3d,elephant,0.825
32,top_model_weights_no_3d,elephant,0.775
33,top_model_weights_no_3d,elephant,0.81
34,top_model_weights_no_3d,elephant,0.81
35,top_model_weights_no_3d,elephant,0.855
36,top_model_weights_no_3d,elephant,0.84
37,top_model_weights_no_3d,elephant,0.81
38,top_model_weights_no_3d,elephant,0.765
39,top_model_weights_no_3d,elephant,0.835
40,top_model_weights_no_3d,elephant,0.79
41,top_model_weights_no_3d,elephant,0.79
42,top_model_weights_no_3d,elephant,0.825
43,top_model_weights_no_3d,elephant,0.815
44,top_model_weights_no_3d,elephant,0.865
45,top_model_weights_no_3d,elephant,0.81
46,top_model_weights_no_3d,elephant,0.8
47,top_model_weights_no_3d,elephant,0.745
48,top_model_weights_no_3d,elephant,0.795
49,top_model_weights_no_3d,elephant,0.765
50,top_model_weights_no_3d,elephant,0.76
51,top_model_weights_no_3d,elephant,0.795
52,top_model_weights_no_3d,elephant,0.79
53,top_model_weights_no_3d,elephant,0.775
54,top_model_weights_no_3d,elephant,0.845
55,top_model_weights_no_3d,elephant,0.795
56,top_model_weights_no_3d,elephant,0.78
57,top_model_weights_no_3d,elephant,0.785
58,top_model_weights_no_3d,elephant,0.77
59,top_model_weights_no_3d,elephant,0.795
60,top_model_weights_no_3d,elephant,0.75
61,top_model_weights_no_3d,elephant,0.775
62,top_model_weights_no_3d,elephant,0.825
63,top_model_weights_no_3d,elephant,0.78
64,top_model_weights_no_3d,elephant,0.805
65,top_model_weights_no_3d,elephant,0.82
66,top_model_weights_no_3d,elephant,0.805
67,top_model_weights_no_3d,elephant,0.84
68,top_model_weights_no_3d,elephant,0.81
69,top_model_weights_no_3d,elephant,0.815
70,top_model_weights_no_3d,elephant,0.835
71,top_model_weights_no_3d,elephant,0.82
72,top_model_weights_no_3d,elephant,0.79
73,top_model_weights_no_3d,elephant,0.87
74,top_model_weights_no_3d,elephant,0.795
75,top_model_weights_no_3d,elephant,0.77
76,top_model_weights_no_3d,elephant,0.84
77,top_model_weights_no_3d,elephant,0.785
78,top_model_weights_no_3d,elephant,0.81
79,top_model_weights_no_3d,elephant,0.805
80,top_model_weights_no_3d,elephant,0.75
81,top_model_weights_no_3d,elephant,0.8
82,top_model_weights_no_3d,elephant,0.78
83,top_model_weights_no_3d,elephant,0.79
84,top_model_weights_no_3d,elephant,0.79
85,top_model_weights_no_3d,elephant,0.82
86,top_model_weights_no_3d,elephant,0.78
87,top_model_weights_no_3d,elephant,0.79
88,top_model_weights_no_3d,elephant,0.815
89,top_model_weights_no_3d,elephant,0.845
90,top_model_weights_no_3d,elephant,0.83
91,top_model_weights_no_3d,elephant,0.8
92,top_model_weights_no_3d,elephant,0.825
93,top_model_weights_no_3d,elephant,0.795
94,top_model_weights_no_3d,elephant,0.89
95,top_model_weights_no_3d,elephant,0.815
96,top_model_weights_no_3d,elephant,0.815
97,top_model_weights_no_3d,elephant,0.78
98,top_model_weights_no_3d,elephant,0.755
99,top_model_weights_no_3d,elephant,0.77
100,top_model_weights_no_3d,elephant,0.79
101,top_model_weights_no_3d,elephant,0.715
102,top_model_weights_no_3d,elephant,0.87
103,top_model_weights_no_3d,elephant,0.805
104,top_model_weights_no_3d,elephant,0.82
105,top_model_weights_no_3d,elephant,0.835
106,top_model_weights_no_3d,elephant,0.835
107,top_model_weights_no_3d,elephant,0.83
108,top_model_weights_no_3d,elephant,0.805
109,top_model_weights_no_3d,elephant,0.78
110,top_model_weights_no_3d,elephant,0.83
111,top_model_weights_no_3d,elephant,0.82
112,top_model_weights_no_3d,elephant,0.85
113,top_model_weights_no_3d,elephant,0.815
114,top_model_weights_no_3d,elephant,0.835
115,top_model_weights_no_3d,elephant,0.8
116,top_model_weights_no_3d,elephant,0.8
117,top_model_weights_no_3d,elephant,0.835
118,top_model_weights_no_3d,elephant,0.775
119,top_model_weights_no_3d,elephant,0.75
120,top_model_weights_no_3d,elephant,0.83
121,top_model_weights_no_3d,elephant,0.765
122,top_model_weights_no_3d,elephant,0.8
123,top_model_weights_no_3d,elephant,0.785
124,top_model_weights_no_3d,elephant,0.785
125,top_model_weights_no_3d,elephant,0.795
126,top_model_weights_no_3d,elephant,0.795
127,top_model_weights_no_3d,elephant,0.795
128,top_model_weights_no_3d,elephant,0.795
129,top_model_weights_no_3d,elephant,0.815
130,top_model_weights_no_3d,elephant,0.785
131,top_model_weights_no_3d,elephant,0.815
132,top_model_weights_no_3d,elephant,0.775
133,top_model_weights_no_3d,elephant,0.79
134,top_model_weights_no_3d,elephant,0.805
135,top_model_weights_no_3d,elephant,0.8
136,top_model_weights_no_3d,elephant,0.865
137,top_model_weights_no_3d,elephant,0.83
138,top_model_weights_no_3d,elephant,0.81
139,top_model_weights_no_3d,elephant,0.8
140,top_model_weights_no_3d,elephant,0.825
141,top_model_weights_no_3d,elephant,0.78
142,top_model_weights_no_3d,elephant,0.82
143,top_model_weights_no_3d,elephant,0.83
144,top_model_weights_no_3d,elephant,0.75
145,top_model_weights_no_3d,elephant,0.79
146,top_model_weights_no_3d,elephant,0.825
147,top_model_weights_no_3d,elephant,0.755
148,top_model_weights_no_3d,elephant,0.815
149,top_model_weights_no_3d,elephant,0.785
150,top_model_weights_no_3d,elephant,0.81
151,top_model_weights_no_3d,elephant,0.83
152,top_model_weights_no_3d,elephant,0.825
153,top_model_weights_no_3d,elephant,0.77
154,top_model_weights_no_3d,elephant,0.785
155,top_model_weights_no_3d,elephant,0.8
156,top_model_weights_no_3d,elephant,0.82
157,top_model_weights_no_3d,elephant,0.82
158,top_model_weights_no_3d,elephant,0.835
159,top_model_weights_no_3d,elephant,0.845
160,top_model_weights_no_3d,elephant,0.77
161,top_model_weights_no_3d,elephant,0.83
162,top_model_weights_no_3d,elephant,0.785
163,top_model_weights_no_3d,elephant,0.795
164,top_model_weights_no_3d,elephant,0.79
165,top_model_weights_no_3d,elephant,0.845
166,top_model_weights_no_3d,elephant,0.82
167,top_model_weights_no_3d,elephant,0.815
168,top_model_weights_no_3d,elephant,0.81
169,top_model_weights_no_3d,elephant,0.835
170,top_model_weights_no_3d,elephant,0.86
171,top_model_weights_no_3d,elephant,0.755
172,top_model_weights_no_3d,elephant,0.785
173,top_model_weights_no_3d,elephant,0.845
174,top_model_weights_no_3d,elephant,0.82
175,top_model_weights_no_3d,elephant,0.835
176,top_model_weights_no_3d,elephant,0.8
177,top_model_weights_no_3d,elephant,0.82
178,top_model_weights_no_3d,elephant,0.76
179,top_model_weights_no_3d,elephant,0.8
180,top_model_weights_no_3d,elephant,0.8
181,top_model_weights_no_3d,elephant,0.825
182,top_model_weights_no_3d,elephant,0.78
183,top_model_weights_no_3d,elephant,0.77
184,top_model_weights_no_3d,elephant,0.78
185,top_model_weights_no_3d,elephant,0.785
186,top_model_weights_no_3d,elephant,0.8
187,top_model_weights_no_3d,elephant,0.82
188,top_model_weights_no_3d,elephant,0.795
189,top_model_weights_no_3d,elephant,0.765
190,top_model_weights_no_3d,elephant,0.785
191,top_model_weights_no_3d,elephant,0.815
192,top_model_weights_no_3d,elephant,0.835
193,top_model_weights_no_3d,elephant,0.825
194,top_model_weights_no_3d,elephant,0.84
195,top_model_weights_no_3d,elephant,0.74
196,top_model_weights_no_3d,elephant,0.795
197,top_model_weights_no_3d,elephant,0.805
198,top_model_weights_no_3d,elephant,0.8
199,top_model_weights_no_3d,elephant,0.8
200,top_model_weights_no_3d,elephant,0.83
201,top_model_weights_no_3d,elephant,0.75
202,top_model_weights_no_3d,elephant,0.825
203,top_model_weights_no_3d,elephant,0.78
204,top_model_weights_no_3d,elephant,0.765
205,top_model_weights_no_3d,elephant,0.865
206,top_model_weights_no_3d,elephant,0.765
207,top_model_weights_no_3d,elephant,0.785
208,top_model_weights_no_3d,elephant,0.82
209,top_model_weights_no_3d,elephant,0.78
210,top_model_weights_no_3d,elephant,0.77
211,top_model_weights_no_3d,elephant,0.82
212,top_model_weights_no_3d,elephant,0.78
213,top_model_weights_no_3d,elephant,0.82
214,top_model_weights_no_3d,elephant,0.81
215,top_model_weights_no_3d,elephant,0.79
216,top_model_weights_no_3d,elephant,0.81
217,top_model_weights_no_3d,elephant,0.765
218,top_model_weights_no_3d,elephant,0.82
219,top_model_weights_no_3d,elephant,0.795
220,top_model_weights_no_3d,elephant,0.805
221,top_model_weights_no_3d,elephant,0.795
222,top_model_weights_no_3d,elephant,0.77
223,top_model_weights_no_3d,elephant,0.855
224,top_model_weights_no_3d,elephant,0.78
225,top_model_weights_no_3d,elephant,0.79
226,top_model_weights_no_3d,elephant,0.82
227,top_model_weights_no_3d,elephant,0.76
228,top_model_weights_no_3d,elephant,0.79
229,top_model_weights_no_3d,elephant,0.76
230,top_model_weights_no_3d,elephant,0.8
231,top_model_weights_no_3d,elephant,0.835
232,top_model_weights_no_3d,elephant,0.81
233,top_model_weights_no_3d,elephant,0.795
234,top_model_weights_no_3d,elephant,0.755
235,top_model_weights_no_3d,elephant,0.79
236,top_model_weights_no_3d,elephant,0.82
237,top_model_weights_no_3d,elephant,0.805
238,top_model_weights_no_3d,elephant,0.83
239,top_model_weights_no_3d,elephant,0.825
240,top_model_weights_no_3d,elephant,0.79
241,top_model_weights_no_3d,elephant,0.86
242,top_model_weights_no_3d,elephant,0.785
243,top_model_weights_no_3d,elephant,0.84
244,top_model_weights_no_3d,elephant,0.805
245,top_model_weights_no_3d,elephant,0.745
246,top_model_weights_no_3d,elephant,0.79
247,top_model_weights_no_3d,elephant,0.79
248,top_model_weights_no_3d,elephant,0.795
249,top_model_weights_no_3d,elephant,0.795
250,top_model_weights_no_3d,elephant,0.75
251,top_model_weights_no_3d,elephant,0.795
252,top_model_weights_no_3d,elephant,0.8
253,top_model_weights_no_3d,elephant,0.795
254,top_model_weights_no_3d,elephant,0.82
255,top_model_weights_no_3d,elephant,0.82
256,top_model_weights_no_3d,elephant,0.77
257,top_model_weights_no_3d,elephant,0.815
