,model,animal,accuracy
0,top_model_weights_no_3d,horse,0.74
1,top_model_weights_no_3d,horse,0.705
2,top_model_weights_no_3d,horse,0.725
3,top_model_weights_no_3d,horse,0.74
4,top_model_weights_no_3d,horse,0.685
5,top_model_weights_no_3d,horse,0.69
6,top_model_weights_no_3d,horse,0.705
7,top_model_weights_no_3d,horse,0.785
8,top_model_weights_no_3d,horse,0.725
9,top_model_weights_no_3d,horse,0.67
10,top_model_weights_no_3d,horse,0.745
11,top_model_weights_no_3d,horse,0.72
12,top_model_weights_no_3d,horse,0.695
13,top_model_weights_no_3d,horse,0.68
14,top_model_weights_no_3d,horse,0.715
15,top_model_weights_no_3d,horse,0.69
16,top_model_weights_no_3d,horse,0.645
17,top_model_weights_no_3d,horse,0.735
18,top_model_weights_no_3d,horse,0.755
19,top_model_weights_no_3d,horse,0.705
20,top_model_weights_no_3d,horse,0.7
21,top_model_weights_no_3d,horse,0.72
22,top_model_weights_no_3d,horse,0.685
23,top_model_weights_no_3d,horse,0.725
24,top_model_weights_no_3d,horse,0.675
25,top_model_weights_no_3d,horse,0.645
26,top_model_weights_no_3d,horse,0.725
27,top_model_weights_no_3d,horse,0.665
28,top_model_weights_no_3d,horse,0.695
29,top_model_weights_no_3d,horse,0.64
30,top_model_weights_no_3d,horse,0.735
31,top_model_weights_no_3d,horse,0.67
32,top_model_weights_no_3d,horse,0.72
33,top_model_weights_no_3d,horse,0.685
34,top_model_weights_no_3d,horse,0.75
35,top_model_weights_no_3d,horse,0.715
36,top_model_weights_no_3d,horse,0.69
37,top_model_weights_no_3d,horse,0.69
38,top_model_weights_no_3d,horse,0.705
39,top_model_weights_no_3d,horse,0.705
40,top_model_weights_no_3d,horse,0.715
41,top_model_weights_no_3d,horse,0.72
42,top_model_weights_no_3d,horse,0.665
43,top_model_weights_no_3d,horse,0.735
44,top_model_weights_no_3d,horse,0.685
45,top_model_weights_no_3d,horse,0.685
46,top_model_weights_no_3d,horse,0.665
47,top_model_weights_no_3d,horse,0.645
48,top_model_weights_no_3d,horse,0.71
49,top_model_weights_no_3d,horse,0.725
50,top_model_weights_no_3d,horse,0.72
51,top_model_weights_no_3d,horse,0.665
52,top_model_weights_no_3d,horse,0.685
53,top_model_weights_no_3d,horse,0.74
54,top_model_weights_no_3d,horse,0.71
55,top_model_weights_no_3d,horse,0.71
56,top_model_weights_no_3d,horse,0.745
57,top_model_weights_no_3d,horse,0.775
58,top_model_weights_no_3d,horse,0.775
59,top_model_weights_no_3d,horse,0.8
60,top_model_weights_no_3d,horse,0.7
61,top_model_weights_no_3d,horse,0.71
62,top_model_weights_no_3d,horse,0.73
63,top_model_weights_no_3d,horse,0.7
64,top_model_weights_no_3d,horse,0.71
65,top_model_weights_no_3d,horse,0.695
66,top_model_weights_no_3d,horse,0.715
67,top_model_weights_no_3d,horse,0.7
68,top_model_weights_no_3d,horse,0.71
69,top_model_weights_no_3d,horse,0.77
70,top_model_weights_no_3d,horse,0.735
71,top_model_weights_no_3d,horse,0.7
72,top_model_weights_no_3d,horse,0.67
73,top_model_weights_no_3d,horse,0.68
74,top_model_weights_no_3d,horse,0.76
75,top_model_weights_no_3d,horse,0.775
76,top_model_weights_no_3d,horse,0.68
77,top_model_weights_no_3d,horse,0.665
78,top_model_weights_no_3d,horse,0.7
79,top_model_weights_no_3d,horse,0.715
80,top_model_weights_no_3d,horse,0.67
81,top_model_weights_no_3d,horse,0.66
82,top_model_weights_no_3d,horse,0.665
83,top_model_weights_no_3d,horse,0.675
84,top_model_weights_no_3d,horse,0.655
85,top_model_weights_no_3d,horse,0.585
86,top_model_weights_no_3d,horse,0.695
87,top_model_weights_no_3d,horse,0.72
88,top_model_weights_no_3d,horse,0.71
89,top_model_weights_no_3d,horse,0.735
90,top_model_weights_no_3d,horse,0.705
91,top_model_weights_no_3d,horse,0.675
92,top_model_weights_no_3d,horse,0.745
93,top_model_weights_no_3d,horse,0.72
94,top_model_weights_no_3d,horse,0.745
95,top_model_weights_no_3d,horse,0.695
96,top_model_weights_no_3d,horse,0.745
97,top_model_weights_no_3d,horse,0.765
98,top_model_weights_no_3d,horse,0.66
99,top_model_weights_no_3d,horse,0.71
100,top_model_weights_no_3d,horse,0.68
101,top_model_weights_no_3d,horse,0.715
102,top_model_weights_no_3d,horse,0.74
103,top_model_weights_no_3d,horse,0.655
104,top_model_weights_no_3d,horse,0.75
105,top_model_weights_no_3d,horse,0.665
106,top_model_weights_no_3d,horse,0.715
107,top_model_weights_no_3d,horse,0.765
108,top_model_weights_no_3d,horse,0.71
109,top_model_weights_no_3d,horse,0.71
110,top_model_weights_no_3d,horse,0.685
111,top_model_weights_no_3d,horse,0.68
112,top_model_weights_no_3d,horse,0.72
113,top_model_weights_no_3d,horse,0.73
114,top_model_weights_no_3d,horse,0.68
115,top_model_weights_no_3d,horse,0.72
116,top_model_weights_no_3d,horse,0.68
117,top_model_weights_no_3d,horse,0.7
118,top_model_weights_no_3d,horse,0.72
119,top_model_weights_no_3d,horse,0.725
120,top_model_weights_no_3d,horse,0.685
121,top_model_weights_no_3d,horse,0.72
122,top_model_weights_no_3d,horse,0.72
123,top_model_weights_no_3d,horse,0.74
124,top_model_weights_no_3d,horse,0.71
125,top_model_weights_no_3d,horse,0.76
126,top_model_weights_no_3d,horse,0.735
127,top_model_weights_no_3d,horse,0.665
128,top_model_weights_no_3d,horse,0.75
129,top_model_weights_no_3d,horse,0.73
130,top_model_weights_no_3d,horse,0.675
131,top_model_weights_no_3d,horse,0.695
132,top_model_weights_no_3d,horse,0.715
133,top_model_weights_no_3d,horse,0.655
134,top_model_weights_no_3d,horse,0.69
135,top_model_weights_no_3d,horse,0.765
136,top_model_weights_no_3d,horse,0.64
137,top_model_weights_no_3d,horse,0.71
138,top_model_weights_no_3d,horse,0.705
139,top_model_weights_no_3d,horse,0.635
140,top_model_weights_no_3d,horse,0.71
141,top_model_weights_no_3d,horse,0.725
142,top_model_weights_no_3d,horse,0.675
143,top_model_weights_no_3d,horse,0.66
144,top_model_weights_no_3d,horse,0.705
145,top_model_weights_no_3d,horse,0.715
146,top_model_weights_no_3d,horse,0.695
147,top_model_weights_no_3d,horse,0.73
148,top_model_weights_no_3d,horse,0.69
149,top_model_weights_no_3d,horse,0.615
150,top_model_weights_no_3d,horse,0.73
151,top_model_weights_no_3d,horse,0.725
152,top_model_weights_no_3d,horse,0.715
153,top_model_weights_no_3d,horse,0.755
154,top_model_weights_no_3d,horse,0.71
155,top_model_weights_no_3d,horse,0.67
156,top_model_weights_no_3d,horse,0.68
157,top_model_weights_no_3d,horse,0.73
158,top_model_weights_no_3d,horse,0.745
159,top_model_weights_no_3d,horse,0.74
160,top_model_weights_no_3d,horse,0.725
161,top_model_weights_no_3d,horse,0.69
162,top_model_weights_no_3d,horse,0.71
163,top_model_weights_no_3d,horse,0.72
164,top_model_weights_no_3d,horse,0.725
165,top_model_weights_no_3d,horse,0.695
166,top_model_weights_no_3d,horse,0.695
167,top_model_weights_no_3d,horse,0.75
168,top_model_weights_no_3d,horse,0.71
169,top_model_weights_no_3d,horse,0.71
170,top_model_weights_no_3d,horse,0.66
171,top_model_weights_no_3d,horse,0.66
172,top_model_weights_no_3d,horse,0.655
173,top_model_weights_no_3d,horse,0.74
174,top_model_weights_no_3d,horse,0.72
175,top_model_weights_no_3d,horse,0.715
176,top_model_weights_no_3d,horse,0.695
177,top_model_weights_no_3d,horse,0.71
178,top_model_weights_no_3d,horse,0.685
179,top_model_weights_no_3d,horse,0.7
180,top_model_weights_no_3d,horse,0.705
181,top_model_weights_no_3d,horse,0.705
182,top_model_weights_no_3d,horse,0.695
183,top_model_weights_no_3d,horse,0.69
184,top_model_weights_no_3d,horse,0.72
185,top_model_weights_no_3d,horse,0.71
186,top_model_weights_no_3d,horse,0.675
187,top_model_weights_no_3d,horse,0.72
188,top_model_weights_no_3d,horse,0.68
189,top_model_weights_no_3d,horse,0.72
190,top_model_weights_no_3d,horse,0.72
191,top_model_weights_no_3d,horse,0.685
192,top_model_weights_no_3d,horse,0.7
193,top_model_weights_no_3d,horse,0.67
194,top_model_weights_no_3d,horse,0.69
195,top_model_weights_no_3d,horse,0.715
196,top_model_weights_no_3d,horse,0.65
197,top_model_weights_no_3d,horse,0.7
198,top_model_weights_no_3d,horse,0.735
199,top_model_weights_no_3d,horse,0.7
200,top_model_weights_no_3d,horse,0.7
201,top_model_weights_no_3d,horse,0.69
202,top_model_weights_no_3d,horse,0.73
203,top_model_weights_no_3d,horse,0.695
204,top_model_weights_no_3d,horse,0.715
205,top_model_weights_no_3d,horse,0.73
206,top_model_weights_no_3d,horse,0.7
207,top_model_weights_no_3d,horse,0.7
208,top_model_weights_no_3d,horse,0.68
209,top_model_weights_no_3d,horse,0.735
210,top_model_weights_no_3d,horse,0.69
211,top_model_weights_no_3d,horse,0.705
212,top_model_weights_no_3d,horse,0.63
213,top_model_weights_no_3d,horse,0.715
214,top_model_weights_no_3d,horse,0.745
215,top_model_weights_no_3d,horse,0.66
216,top_model_weights_no_3d,horse,0.725
217,top_model_weights_no_3d,horse,0.69
218,top_model_weights_no_3d,horse,0.67
219,top_model_weights_no_3d,horse,0.72
220,top_model_weights_no_3d,horse,0.685
221,top_model_weights_no_3d,horse,0.72
222,top_model_weights_no_3d,horse,0.72
223,top_model_weights_no_3d,horse,0.645
224,top_model_weights_no_3d,horse,0.695
225,top_model_weights_no_3d,horse,0.7
226,top_model_weights_no_3d,horse,0.67
227,top_model_weights_no_3d,horse,0.715
228,top_model_weights_no_3d,horse,0.715
229,top_model_weights_no_3d,horse,0.745
230,top_model_weights_no_3d,horse,0.72
231,top_model_weights_no_3d,horse,0.685
232,top_model_weights_no_3d,horse,0.715
233,top_model_weights_no_3d,horse,0.67
234,top_model_weights_no_3d,horse,0.705
235,top_model_weights_no_3d,horse,0.72
236,top_model_weights_no_3d,horse,0.74
237,top_model_weights_no_3d,horse,0.74
238,top_model_weights_no_3d,horse,0.725
239,top_model_weights_no_3d,horse,0.755
240,top_model_weights_no_3d,horse,0.715
241,top_model_weights_no_3d,horse,0.695
242,top_model_weights_no_3d,horse,0.69
243,top_model_weights_no_3d,horse,0.735
244,top_model_weights_no_3d,horse,0.76
245,top_model_weights_no_3d,horse,0.7
246,top_model_weights_no_3d,horse,0.665
247,top_model_weights_no_3d,horse,0.71
248,top_model_weights_no_3d,horse,0.705
249,top_model_weights_no_3d,horse,0.68
250,top_model_weights_no_3d,horse,0.725
251,top_model_weights_no_3d,horse,0.72
252,top_model_weights_no_3d,horse,0.73
253,top_model_weights_no_3d,horse,0.72
254,top_model_weights_no_3d,horse,0.72
255,top_model_weights_no_3d,horse,0.71
256,top_model_weights_no_3d,horse,0.655
257,top_model_weights_no_3d,horse,0.7
258,top_model_weights_no_3d,horse,0.69
259,top_model_weights_no_3d,horse,0.675
260,top_model_weights_no_3d,horse,0.735
261,top_model_weights_no_3d,horse,0.72
262,top_model_weights_no_3d,horse,0.74
263,top_model_weights_no_3d,horse,0.695
264,top_model_weights_no_3d,horse,0.68
265,top_model_weights_no_3d,horse,0.725
266,top_model_weights_no_3d,horse,0.71
267,top_model_weights_no_3d,horse,0.765
268,top_model_weights_no_3d,horse,0.74
269,top_model_weights_no_3d,horse,0.73
270,top_model_weights_no_3d,horse,0.705
271,top_model_weights_no_3d,horse,0.715
272,top_model_weights_no_3d,horse,0.695
273,top_model_weights_no_3d,horse,0.72
274,top_model_weights_no_3d,horse,0.705
275,top_model_weights_no_3d,horse,0.695
276,top_model_weights_no_3d,horse,0.71
277,top_model_weights_no_3d,horse,0.75
278,top_model_weights_no_3d,horse,0.72
279,top_model_weights_no_3d,horse,0.715
280,top_model_weights_no_3d,horse,0.675
281,top_model_weights_no_3d,horse,0.74
282,top_model_weights_no_3d,horse,0.635
283,top_model_weights_no_3d,horse,0.7
284,top_model_weights_no_3d,horse,0.74
285,top_model_weights_no_3d,horse,0.655
286,top_model_weights_no_3d,horse,0.705
287,top_model_weights_no_3d,horse,0.72
288,top_model_weights_no_3d,horse,0.7
289,top_model_weights_no_3d,horse,0.66
290,top_model_weights_no_3d,horse,0.725
291,top_model_weights_no_3d,horse,0.705
292,top_model_weights_no_3d,horse,0.695
293,top_model_weights_no_3d,horse,0.68
294,top_model_weights_no_3d,horse,0.72
295,top_model_weights_no_3d,horse,0.715
296,top_model_weights_no_3d,horse,0.73
297,top_model_weights_no_3d,horse,0.705
298,top_model_weights_no_3d,horse,0.705
299,top_model_weights_no_3d,horse,0.75
300,top_model_weights_no_3d,horse,0.715
301,top_model_weights_no_3d,horse,0.71
302,top_model_weights_no_3d,horse,0.71
303,top_model_weights_no_3d,horse,0.67
304,top_model_weights_no_3d,horse,0.705
305,top_model_weights_no_3d,horse,0.745
306,top_model_weights_no_3d,horse,0.7
307,top_model_weights_no_3d,horse,0.72
308,top_model_weights_no_3d,horse,0.71
309,top_model_weights_no_3d,horse,0.665
310,top_model_weights_no_3d,horse,0.69
311,top_model_weights_no_3d,horse,0.7
312,top_model_weights_no_3d,horse,0.715
313,top_model_weights_no_3d,horse,0.775
314,top_model_weights_no_3d,horse,0.74
315,top_model_weights_no_3d,horse,0.745
316,top_model_weights_no_3d,horse,0.71
317,top_model_weights_no_3d,horse,0.71
318,top_model_weights_no_3d,horse,0.74
319,top_model_weights_no_3d,horse,0.69
320,top_model_weights_no_3d,horse,0.735
321,top_model_weights_no_3d,horse,0.71
322,top_model_weights_no_3d,horse,0.695
323,top_model_weights_no_3d,horse,0.705
324,top_model_weights_no_3d,horse,0.705
325,top_model_weights_no_3d,horse,0.71
326,top_model_weights_no_3d,horse,0.705
327,top_model_weights_no_3d,horse,0.695
328,top_model_weights_no_3d,horse,0.725
329,top_model_weights_no_3d,horse,0.665
330,top_model_weights_no_3d,horse,0.695
331,top_model_weights_no_3d,horse,0.74
332,top_model_weights_no_3d,horse,0.63
333,top_model_weights_no_3d,horse,0.715
334,top_model_weights_no_3d,horse,0.7
335,top_model_weights_no_3d,horse,0.76
336,top_model_weights_no_3d,horse,0.73
337,top_model_weights_no_3d,horse,0.695
