,model,animal,accuracy
0,top_model_weights_with_3d,horse,0.64
1,top_model_weights_with_3d,horse,0.655
2,top_model_weights_with_3d,horse,0.615
3,top_model_weights_with_3d,horse,0.715
4,top_model_weights_with_3d,horse,0.64
5,top_model_weights_with_3d,horse,0.625
6,top_model_weights_with_3d,horse,0.615
7,top_model_weights_with_3d,horse,0.66
8,top_model_weights_with_3d,horse,0.615
9,top_model_weights_with_3d,horse,0.71
10,top_model_weights_with_3d,horse,0.635
11,top_model_weights_with_3d,horse,0.725
12,top_model_weights_with_3d,horse,0.63
13,top_model_weights_with_3d,horse,0.625
14,top_model_weights_with_3d,horse,0.635
15,top_model_weights_with_3d,horse,0.66
16,top_model_weights_with_3d,horse,0.665
17,top_model_weights_with_3d,horse,0.635
18,top_model_weights_with_3d,horse,0.68
19,top_model_weights_with_3d,horse,0.66
20,top_model_weights_with_3d,horse,0.645
21,top_model_weights_with_3d,horse,0.645
22,top_model_weights_with_3d,horse,0.68
23,top_model_weights_with_3d,horse,0.685
24,top_model_weights_with_3d,horse,0.67
25,top_model_weights_with_3d,horse,0.675
26,top_model_weights_with_3d,horse,0.65
27,top_model_weights_with_3d,horse,0.7
28,top_model_weights_with_3d,horse,0.675
29,top_model_weights_with_3d,horse,0.725
30,top_model_weights_with_3d,horse,0.7
31,top_model_weights_with_3d,horse,0.65
32,top_model_weights_with_3d,horse,0.64
33,top_model_weights_with_3d,horse,0.655
34,top_model_weights_with_3d,horse,0.685
35,top_model_weights_with_3d,horse,0.7
36,top_model_weights_with_3d,horse,0.68
37,top_model_weights_with_3d,horse,0.71
38,top_model_weights_with_3d,horse,0.745
39,top_model_weights_with_3d,horse,0.68
40,top_model_weights_with_3d,horse,0.675
41,top_model_weights_with_3d,horse,0.635
42,top_model_weights_with_3d,horse,0.64
43,top_model_weights_with_3d,horse,0.64
44,top_model_weights_with_3d,horse,0.66
45,top_model_weights_with_3d,horse,0.74
46,top_model_weights_with_3d,horse,0.725
47,top_model_weights_with_3d,horse,0.695
48,top_model_weights_with_3d,horse,0.645
49,top_model_weights_with_3d,horse,0.675
50,top_model_weights_with_3d,horse,0.61
51,top_model_weights_with_3d,horse,0.65
52,top_model_weights_with_3d,horse,0.63
53,top_model_weights_with_3d,horse,0.67
54,top_model_weights_with_3d,horse,0.605
55,top_model_weights_with_3d,horse,0.6
56,top_model_weights_with_3d,horse,0.665
57,top_model_weights_with_3d,horse,0.675
58,top_model_weights_with_3d,horse,0.675
59,top_model_weights_with_3d,horse,0.67
60,top_model_weights_with_3d,horse,0.645
61,top_model_weights_with_3d,horse,0.69
62,top_model_weights_with_3d,horse,0.675
63,top_model_weights_with_3d,horse,0.62
64,top_model_weights_with_3d,horse,0.73
65,top_model_weights_with_3d,horse,0.61
66,top_model_weights_with_3d,horse,0.595
67,top_model_weights_with_3d,horse,0.625
68,top_model_weights_with_3d,horse,0.695
69,top_model_weights_with_3d,horse,0.655
70,top_model_weights_with_3d,horse,0.65
71,top_model_weights_with_3d,horse,0.675
72,top_model_weights_with_3d,horse,0.715
73,top_model_weights_with_3d,horse,0.675
74,top_model_weights_with_3d,horse,0.69
75,top_model_weights_with_3d,horse,0.66
76,top_model_weights_with_3d,horse,0.645
77,top_model_weights_with_3d,horse,0.7
78,top_model_weights_with_3d,horse,0.64
79,top_model_weights_with_3d,horse,0.645
80,top_model_weights_with_3d,horse,0.71
81,top_model_weights_with_3d,horse,0.675
82,top_model_weights_with_3d,horse,0.635
83,top_model_weights_with_3d,horse,0.665
84,top_model_weights_with_3d,horse,0.64
85,top_model_weights_with_3d,horse,0.665
86,top_model_weights_with_3d,horse,0.66
87,top_model_weights_with_3d,horse,0.62
88,top_model_weights_with_3d,horse,0.715
89,top_model_weights_with_3d,horse,0.655
90,top_model_weights_with_3d,horse,0.675
91,top_model_weights_with_3d,horse,0.68
92,top_model_weights_with_3d,horse,0.645
93,top_model_weights_with_3d,horse,0.73
94,top_model_weights_with_3d,horse,0.71
95,top_model_weights_with_3d,horse,0.64
96,top_model_weights_with_3d,horse,0.645
97,top_model_weights_with_3d,horse,0.635
