,model,animal,accuracy
0,top_model_weights_no_3d,sheep,0.67
1,top_model_weights_no_3d,sheep,0.685
2,top_model_weights_no_3d,sheep,0.68
3,top_model_weights_no_3d,sheep,0.63
4,top_model_weights_no_3d,sheep,0.685
5,top_model_weights_no_3d,sheep,0.7
6,top_model_weights_no_3d,sheep,0.735
7,top_model_weights_no_3d,sheep,0.725
8,top_model_weights_no_3d,sheep,0.675
9,top_model_weights_no_3d,sheep,0.68
10,top_model_weights_no_3d,sheep,0.605
11,top_model_weights_no_3d,sheep,0.745
12,top_model_weights_no_3d,sheep,0.655
13,top_model_weights_no_3d,sheep,0.69
14,top_model_weights_no_3d,sheep,0.685
15,top_model_weights_no_3d,sheep,0.695
16,top_model_weights_no_3d,sheep,0.71
17,top_model_weights_no_3d,sheep,0.66
18,top_model_weights_no_3d,sheep,0.685
19,top_model_weights_no_3d,sheep,0.67
20,top_model_weights_no_3d,sheep,0.655
21,top_model_weights_no_3d,sheep,0.665
22,top_model_weights_no_3d,sheep,0.71
23,top_model_weights_no_3d,sheep,0.64
24,top_model_weights_no_3d,sheep,0.675
25,top_model_weights_no_3d,sheep,0.64
26,top_model_weights_no_3d,sheep,0.74
27,top_model_weights_no_3d,sheep,0.71
28,top_model_weights_no_3d,sheep,0.695
29,top_model_weights_no_3d,sheep,0.715
30,top_model_weights_no_3d,sheep,0.67
31,top_model_weights_no_3d,sheep,0.715
32,top_model_weights_no_3d,sheep,0.74
33,top_model_weights_no_3d,sheep,0.68
34,top_model_weights_no_3d,sheep,0.6
35,top_model_weights_no_3d,sheep,0.7
36,top_model_weights_no_3d,sheep,0.65
37,top_model_weights_no_3d,sheep,0.675
38,top_model_weights_no_3d,sheep,0.665
39,top_model_weights_no_3d,sheep,0.715
40,top_model_weights_no_3d,sheep,0.67
41,top_model_weights_no_3d,sheep,0.665
42,top_model_weights_no_3d,sheep,0.7
43,top_model_weights_no_3d,sheep,0.675
44,top_model_weights_no_3d,sheep,0.695
45,top_model_weights_no_3d,sheep,0.685
46,top_model_weights_no_3d,sheep,0.705
