,model,animal,accuracy
0,top_model_weights_with_3d,sheep,0.76
1,top_model_weights_with_3d,sheep,0.725
2,top_model_weights_with_3d,sheep,0.715
3,top_model_weights_with_3d,sheep,0.695
4,top_model_weights_with_3d,sheep,0.75
5,top_model_weights_with_3d,sheep,0.785
6,top_model_weights_with_3d,sheep,0.745
7,top_model_weights_with_3d,sheep,0.705
8,top_model_weights_with_3d,sheep,0.66
9,top_model_weights_with_3d,sheep,0.715
10,top_model_weights_with_3d,sheep,0.755
11,top_model_weights_with_3d,sheep,0.735
12,top_model_weights_with_3d,sheep,0.695
13,top_model_weights_with_3d,sheep,0.715
14,top_model_weights_with_3d,sheep,0.75
15,top_model_weights_with_3d,sheep,0.68
16,top_model_weights_with_3d,sheep,0.75
17,top_model_weights_with_3d,sheep,0.82
18,top_model_weights_with_3d,sheep,0.725
19,top_model_weights_with_3d,sheep,0.755
20,top_model_weights_with_3d,sheep,0.75
21,top_model_weights_with_3d,sheep,0.71
22,top_model_weights_with_3d,sheep,0.725
23,top_model_weights_with_3d,sheep,0.74
24,top_model_weights_with_3d,sheep,0.72
25,top_model_weights_with_3d,sheep,0.74
26,top_model_weights_with_3d,sheep,0.78
27,top_model_weights_with_3d,sheep,0.76
28,top_model_weights_with_3d,sheep,0.765
29,top_model_weights_with_3d,sheep,0.74
30,top_model_weights_with_3d,sheep,0.715
31,top_model_weights_with_3d,sheep,0.715
32,top_model_weights_with_3d,sheep,0.675
33,top_model_weights_with_3d,sheep,0.805
34,top_model_weights_with_3d,sheep,0.76
35,top_model_weights_with_3d,sheep,0.71
36,top_model_weights_with_3d,sheep,0.76
37,top_model_weights_with_3d,sheep,0.72
38,top_model_weights_with_3d,sheep,0.765
39,top_model_weights_with_3d,sheep,0.73
40,top_model_weights_with_3d,sheep,0.77
41,top_model_weights_with_3d,sheep,0.75
42,top_model_weights_with_3d,sheep,0.68
43,top_model_weights_with_3d,sheep,0.715
44,top_model_weights_with_3d,sheep,0.7
45,top_model_weights_with_3d,sheep,0.775
46,top_model_weights_with_3d,sheep,0.72
47,top_model_weights_with_3d,sheep,0.745
48,top_model_weights_with_3d,sheep,0.725
49,top_model_weights_with_3d,sheep,0.74
50,top_model_weights_with_3d,sheep,0.76
51,top_model_weights_with_3d,sheep,0.735
52,top_model_weights_with_3d,sheep,0.725
53,top_model_weights_with_3d,sheep,0.755
54,top_model_weights_with_3d,sheep,0.745
55,top_model_weights_with_3d,sheep,0.75
56,top_model_weights_with_3d,sheep,0.77
57,top_model_weights_with_3d,sheep,0.8
58,top_model_weights_with_3d,sheep,0.67
59,top_model_weights_with_3d,sheep,0.735
60,top_model_weights_with_3d,sheep,0.73
61,top_model_weights_with_3d,sheep,0.71
62,top_model_weights_with_3d,sheep,0.78
63,top_model_weights_with_3d,sheep,0.725
64,top_model_weights_with_3d,sheep,0.72
65,top_model_weights_with_3d,sheep,0.795
66,top_model_weights_with_3d,sheep,0.67
67,top_model_weights_with_3d,sheep,0.71
68,top_model_weights_with_3d,sheep,0.77
69,top_model_weights_with_3d,sheep,0.77
70,top_model_weights_with_3d,sheep,0.73
71,top_model_weights_with_3d,sheep,0.695
72,top_model_weights_with_3d,sheep,0.725
73,top_model_weights_with_3d,sheep,0.775
74,top_model_weights_with_3d,sheep,0.775
75,top_model_weights_with_3d,sheep,0.74
76,top_model_weights_with_3d,sheep,0.73
77,top_model_weights_with_3d,sheep,0.71
78,top_model_weights_with_3d,sheep,0.74
79,top_model_weights_with_3d,sheep,0.765
80,top_model_weights_with_3d,sheep,0.7
81,top_model_weights_with_3d,sheep,0.8
82,top_model_weights_with_3d,sheep,0.735
83,top_model_weights_with_3d,sheep,0.67
84,top_model_weights_with_3d,sheep,0.745
85,top_model_weights_with_3d,sheep,0.75
86,top_model_weights_with_3d,sheep,0.715
87,top_model_weights_with_3d,sheep,0.76
88,top_model_weights_with_3d,sheep,0.745
89,top_model_weights_with_3d,sheep,0.755
90,top_model_weights_with_3d,sheep,0.715
91,top_model_weights_with_3d,sheep,0.69
92,top_model_weights_with_3d,sheep,0.765
93,top_model_weights_with_3d,sheep,0.72
94,top_model_weights_with_3d,sheep,0.74
95,top_model_weights_with_3d,sheep,0.735
96,top_model_weights_with_3d,sheep,0.82
97,top_model_weights_with_3d,sheep,0.72
98,top_model_weights_with_3d,sheep,0.735
99,top_model_weights_with_3d,sheep,0.74
100,top_model_weights_with_3d,sheep,0.755
101,top_model_weights_with_3d,sheep,0.77
102,top_model_weights_with_3d,sheep,0.725
103,top_model_weights_with_3d,sheep,0.72
104,top_model_weights_with_3d,sheep,0.715
105,top_model_weights_with_3d,sheep,0.75
106,top_model_weights_with_3d,sheep,0.69
107,top_model_weights_with_3d,sheep,0.715
108,top_model_weights_with_3d,sheep,0.765
109,top_model_weights_with_3d,sheep,0.79
110,top_model_weights_with_3d,sheep,0.76
111,top_model_weights_with_3d,sheep,0.72
112,top_model_weights_with_3d,sheep,0.775
113,top_model_weights_with_3d,sheep,0.77
114,top_model_weights_with_3d,sheep,0.785
115,top_model_weights_with_3d,sheep,0.725
116,top_model_weights_with_3d,sheep,0.71
117,top_model_weights_with_3d,sheep,0.765
118,top_model_weights_with_3d,sheep,0.695
119,top_model_weights_with_3d,sheep,0.745
120,top_model_weights_with_3d,sheep,0.74
121,top_model_weights_with_3d,sheep,0.735
122,top_model_weights_with_3d,sheep,0.73
123,top_model_weights_with_3d,sheep,0.75
124,top_model_weights_with_3d,sheep,0.72
125,top_model_weights_with_3d,sheep,0.725
126,top_model_weights_with_3d,sheep,0.725
127,top_model_weights_with_3d,sheep,0.68
